,trade_id,product_id,price,size,time,side,exchange,bid,ask
9129,590178756,ETH-USD,3460.58,0.01,2025-01-02 15:41:16.397106+00:00,SELL,,,
9130,590178657,ETH-USD,3460.44,0.01,2025-01-02 15:41:01.896780+00:00,BUY,,,
9131,590178580,ETH-USD,3464.41,0.00043156,2025-01-02 15:40:46.755466+00:00,SELL,,,
9132,590178534,ETH-USD,3463.2,0.00100083,2025-01-02 15:40:31.859163+00:00,SELL,,,
9133,2025-01-02T15:40:16.465Z-ETH/USD-3463-0.1,ETH-USD,3463.0,0.1,2025-01-02 15:40:16.465000+00:00,UNKNOWN_ORDER_SIDE,,,
9134,590178379,ETH-USD,3460.8,0.6,2025-01-02 15:40:01.977904+00:00,BUY,,,
9135,590178344,ETH-USD,3460.19,0.00011555,2025-01-02 15:39:46.553364+00:00,SELL,,,
9136,590178284,ETH-USD,3459.85,0.00043209,2025-01-02 15:39:29.207410+00:00,SELL,,,
9137,590178242,ETH-USD,3459.58,0.00000288,2025-01-02 15:39:14.965680+00:00,SELL,,,
9138,590178165,ETH-USD,3458.28,0.00086156,2025-01-02 15:38:59.998553+00:00,SELL,,,
9139,590178087,ETH-USD,3457.56,0.5,2025-01-02 15:38:44.332831+00:00,SELL,,,
9140,590178005,ETH-USD,3456.53,0.00050073,2025-01-02 15:38:29.710004+00:00,SELL,,,
9141,590177925,ETH-USD,3454.86,0.00108778,2025-01-02 15:38:13.007536+00:00,SELL,,,
9142,590177849,ETH-USD,3456.87,0.001,2025-01-02 15:37:58.921235+00:00,SELL,,,
9143,590177816,ETH-USD,3456.08,0.52101912,2025-01-02 15:37:43.244340+00:00,BUY,,,
9144,590177722,ETH-USD,3459.08,0.00001041,2025-01-02 15:37:28.804620+00:00,SELL,,,
9145,2025-01-02T15:37:13.76Z-ETH/USD-3462.97-0.02,ETH-USD,3462.97,0.02,2025-01-02 15:37:13.760000+00:00,UNKNOWN_ORDER_SIDE,,,
9146,590177516,ETH-USD,3457.52,0.00004336,2025-01-02 15:36:58.241104+00:00,SELL,,,
9147,590177440,ETH-USD,3456.73,0.28121826,2025-01-02 15:36:43.991898+00:00,SELL,,,
9148,590177364,ETH-USD,3455.84,0.00031238,2025-01-02 15:36:28.251464+00:00,SELL,,,
