,trade_id,product_id,price,size,time,side,bid,ask,exchange
20104,594811449,ETH-USD,3275.68,0.00001008,2025-01-16 15:00:13.955228+00:00,SELL,,,
20105,594811284,ETH-USD,3276.04,0.00126677,2025-01-16 14:59:58.964439+00:00,SELL,,,
20106,594811117,ETH-USD,3277.66,0.01146318,2025-01-16 14:59:43.180016+00:00,SELL,,,
20107,594811001,ETH-USD,3276.87,0.234561,2025-01-16 14:59:28.826302+00:00,BUY,,,
20108,594810925,ETH-USD,3277.88,0.00003049,2025-01-16 14:59:13.725056+00:00,SELL,,,
20109,594810781,ETH-USD,3277.56,0.00316781,2025-01-16 14:58:58.364268+00:00,SELL,,,
20110,594810693,ETH-USD,3278.27,0.00126174,2025-01-16 14:58:43.189205+00:00,SELL,,,
20111,594810589,ETH-USD,3280.62,0.00452023,2025-01-16 14:58:28.850031+00:00,SELL,,,
20112,594810479,ETH-USD,3282.54,0.30131116,2025-01-16 14:58:13.978588+00:00,SELL,,,
20113,594810385,ETH-USD,3283.26,0.01659772,2025-01-16 14:57:58.944310+00:00,BUY,,,
20114,594810271,ETH-USD,3285.99,0.2,2025-01-16 14:57:43.808804+00:00,BUY,,,
20115,594810131,ETH-USD,3282.13,0.00421682,2025-01-16 14:57:28.993271+00:00,SELL,,,
20116,594810017,ETH-USD,3281.61,0.01,2025-01-16 14:57:13.850430+00:00,SELL,,,
20117,594809905,ETH-USD,3277.85,0.00028213,2025-01-16 14:56:58.624516+00:00,BUY,,,
20118,594809788,ETH-USD,3280.87,0.13993,2025-01-16 14:56:43.670649+00:00,BUY,,,
20119,594809604,ETH-USD,3282.21,0.00326946,2025-01-16 14:56:28.993828+00:00,BUY,,,
20120,594809444,ETH-USD,3282.25,0.00086253,2025-01-16 14:56:13.947322+00:00,BUY,,,
20121,594809332,ETH-USD,3284.97,0.00326451,2025-01-16 14:55:58.926297+00:00,SELL,,,
